Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canadá,desempleo_varones,6.94,7.53,8.13,7.93,7.48,7.01,6.52,6.38,6.57,9.53,8.79,7.96,7.71,7.5,7.38,7.46,7.68,6.78,6.14,6.03,
Canadá,desempleo_mujeres(activ),6.69,6.86,7.12,7.16,6.85,6.46,6.09,5.65,5.65,7.01,7.23,7.01,6.82,6.6,6.39,6.29,6.24,5.85,5.49,5.25,
Canadá,desempleo_grl,6.94,7.53,8.13,7.93,7.48,7.01,6.52,6.38,6.57,9.53,8.79,7.96,7.71,7.5,7.38,7.46,7.68,6.78,6.14,6.03,
Canadá,varones_sin_ed,11.97,12.3,12.98,13.43999958,13.13000011,12.78999996,12.47999954,11.86999989,12.73999977,15.36999989,14.68000031,13.81999969,14.06000042,13.55000019,14.38000011,14.28999996,14.06999969,13.02999973,13.36999989,13,19.11000061
Canadá,mujeres_sin_ed,12.2,12.45,12.59,12.95,13.03999996,12.77000046,12.25,12.77999973,12.75,13.31999969,13.51000023,13.40999985,13.5,13.39999962,13.39000034,13.32999992,12.89000034,12.10999966,12.27000046,11.67000008,16.67000008
Canada,agua_potable_ALLAREA,99.11183,99.11573,99.11665,99.11758,99.11849,99.14313,99.16786,99.1935,99.21898,99.24432,99.2695,99.29436,99.31808,99.34176,99.36541,99.38903,99.41262,99.43624,,,
Canada,agua_potable_RURAL,98.1768,98.1768,98.1768,98.1768,98.1768,98.23095,98.2851,98.33925,98.3934,98.44755,98.5017,98.55585,98.61,98.66415,98.7183,98.77245,98.8266,98.88074,,,
Canada,agua_potable_URBAN,99.35326,99.35326,99.35326,99.35326,99.35326,99.36944,99.38562,99.4018,99.41798,99.43416,99.45034,99.46652,99.4827,99.49888,99.51506,99.53124,99.54742,99.5636,,,
Canada,zonas_marginales,1.5,1.3,0.8,0.6,0.61,0.25,0.1,0.1,0.1,0.09,0.1,0.08,0.1,0.1,0.1,0.1,0.1,0.1,,,
Canada,SKILL_MATH,90.59237556,89.87969081,89.21339065,89.21339065,88.52366688,89.21339065,86.17105355,86.21339065,85.63728243,84.4429,83.73881121,85.002,88.96,90.012,,,,,,,
Canada,SKILL_READ,90.44218612,90.46056065,89.04411602,89.04411602,89.7109247,89.04411602,89.10521192,89.04411602,89.31858342,89.9043,86.24968765,89.9843,89.9625,90.4126,,,,,,,
